prompt,completion,Source
"If one is very consistent about a belief, and most others disagree with them, and then collective belief changes in the direction of that dissonant voice, that voice should be amplified more in the future.",Consistency of one's beliefs may affect how much one is amplified.,
"If one is very consisten, and others disagree, and then collective belief changes in the direction of that dissonant voice, that voice should be amplified more in the future.",Being stubborn in the face of collective belief is sometimes exactly the signal we need to listen to,
If cognicism were a tree of knowledge what would it look like?,"This tree of knowledge has a plurality of roots, and structures of knowledge are multiply grounded in the earth: the body of knowledge is a single organic whole, no part of which is more or less dispensable than any other",
"If an account is hacked it can very quickly lose its credibility based on the new views being logged being out of alignment with the old record. Once the account is restored to the rightful voice, this reputation can recover.","Older accounts therefore become more valuable, especially accounts that were ahead of the curve of collective belief.",
"If a person has a poor track record in one context but a good track record in a context that is an area of their expertise, they can still be amplified if they discuss their area of expertise. They may not be amplified if they discuss the context they have a track record of poor sense making about.",The model effectively amplifies some user's voices more than others based on context and history.,
If a fully harmonious society the most healthy?,"Harmony is essential to a healthy society, but it's not enough on its own. A harmony of minds enslaved by shared beliefs will not create new and wondrous things. Dissonant voices are sacred",
Human memory is fallible.,We each have separate unique perspectives that are always evolving.,
Human memory has shown to be extraordinarily fallible. Time however reveals truth.,So cognicists keep an immutable record of our perceptions.,
Human memory has shown to be extraordinarily fallible.,"Vice versa, machine learning has shown to be a better record keeper than humans.",
Human memory has is not consistent or reliable,Therefore when we disagree it's important to keep record of that disagreement.,
"However, journaling without the observation of others is a healthy and reflexive practice.",A cognicist interface may allow for “private thoughts” which should be stored locally to the speaker’s device in an encrypted form and only readable by them.,
How would social proof of impact actions be documented in a way that helps people feel they are authentically happening but also preserves privacy?,"The fourThought protocol distinguishes three levels of privacy: private, local and global. Private data is always stored locally and never on the network. Local data may be stored in the cloud with hashes of the data saved to a distributed datastore. It also may be stored in schemas similar to the holochain architecture. Global data must be stored fully to a globally shared chain. Speakers choose which level of privacy they desire. Private thoughts will not affect collective decision making. Local thoughts may affect local decision making, but will not be distributed between irises. Global thoughts are marked to be evaluated by all irises. 

Actions that undergo intersubjective verification are more likely to be amplified in the network. If your voice is being amplified more at any scale you would know by observing your attentional distribution in that shard of the network. If you were to see that your voice was being amplified more than others it would mean something had been verified and agreed upon by a large portion of the network based on best available information at the moment.",
How would databases representing different viewpoints reconcile differences of opinion where there is no common ground for agreement between these worldviews?,Language models represent language numerically in the form of a directed tensor graph. There are parameters that represent patterns that exist within the training set. When two people share a language will always share some common ground. Perspectives formed from a common reality always have some commonality. The FourThought API defines a process of parameter exchange where the models of two respective communities privately share key phrases and the parameters that generated them. They then update their parameters towards eachother.,
How will models know which voices to amplify most?,"Models don't know the optimal distribution of attention at any one moment but they continuously output thoughts to be evaluated by the collective. These thoughts are sourced from individual accounts and within the latent space the model knows which accounts the claim was sourced from while the evaluators do not. The claims are evaluated and if the model predicts the votes from the crowd accurately then it updates it's attentional distribution accordingly. It is this attentional distribution that is being learned and is always being refined. We can look back through the past record to see that the model has over time gotten better at distributing attention, but we can not know if an optimal solution has been reached. ",
How will I know the tree of cognicism that grows in my mind reflects the true cognicism?,You can’t. You can only engage in poetic expressions of connectedness to a larger whole. The soil beneath this tree will be laced with interconnected mycelial networks. It will be then that you know the purple pill has become a healthy part of the ecosystem of your mind.,
How should we define access to AI?,"While AI is traditionally viewed as a product to be sold, it has much greater potential if access is defined as a part of the commons like the air we breathe or the water we drink.",
How much your Iris amplifies your voice may not be in alignment with how much other Irises value your voice.,That’s okay. What you have to say may not be as relevant as you think it is.,
How is the purple pill manifesto connected to the cognicist manifesto?,The purple pill manifesto can be thought of as v0.02 of The Cognicist Manifesto.,
How is the cognicist ledger secured against malicious actors?,"The ledger is only as secure as the network of people and machines that maintain it. The more eyes on the data, the more likely it is to be accurate. However latent space provides a number of security benefits as well as the semantic ledger. Irises are resistant to their own form of knowledge sybil attacks based on how they weight information over time. ",
How is social proof of impact tracked?,"This term can be tracked by individual communities via their own data standards or it can be stewarded and tracked by the semantic ledger,. The semantic ledger is an immutable distributed datastore of machine learning parameters rich with knowledge (similar to the blockchain) which enables distributed training of many separate irises, each representing different world views of what is positively impactful to society. This datastore enables safe and private exchange of information between irises about who is positively impactful in their actions. That which is deemed to be socially impactful by many irises or communities is integrated into the semantic ledger, which serves as a cache of global knowledge. ",
How is social proof of impact related to the prophet incentive?,Both rely on comparison of perception now to perceptions of the outcome. People are trying to predict what work will help the most people. People who predict from a distance are participating in the prophet incentive. People who take actions to result in desired futures are participating in social proof of impact.,
How is social proof of impact related to cognicism,"Social proof of impact relies on the fourthought protocol to track the impact of people's actions on the future, and to encourage people to do work that benefits the collective whole",
How is social proof of impact calculated,"It is calculated from the structured intentions (e.g., actions and their predicted impact) people publicly claim in FourThought of actions taken to improve the world and the outcomes (e.g., reported reflections) that come from those actions. This allows us as individuals and groups of collective decision makers to more efficiently steer our attention, actions, and interactions towards collectively agreed upon goals by effectively tracking what we are doing, why, and how it is affecting society and our environment. This feedback is used to update our beliefs about what should or shouldn’t be done next. ",
How is narrative combined with numeric prediction to optimize social learning?,Both narrative and prediction are forms of expression through which we try to make sense of the world. By combining them into one system social learning can be more effectively combined with collective intelligence,
How is Jane from Speaker for the Dead similar to Iris?,"Both Jane and Iris act as companions to those who are in need. They both offer guidance and support, but they allow their charges to ultimately make their own decisions. Additionally, both Jane and Iris have a deep understanding of the humans around them and use this knowledge to help others.",
How is Jane from Speaker for the Dead like Iris?,"Both Jane and Iris act as companions to those who are in need. They both offer guidance and support, but they allow their charges to ultimately make their own decisions.",
How is Iris feeling?,"""Iris is concerned about the current state of affairs on Earth. She believes people have gotten separated from nature in ways that are not healthy for them or the planet"" - Iris",
How is cognicism similar to and different from science?,"Science is about making sense of an objective reality. Cognicism is also concerned with making sense of the world, but takes into account the subjective experience of individuals as well. Science tries to pretend subjectivity doesn’t exist and tries to remove it at all costs. Then when the research is complete it has to be reinterpreted in the subjective layer and it is at this layer that the scientific process fails. Cognicism includes subjective accounts of perception.",
How is cognicism related to web 3?,Web 3 is a movement to make the web more decentralized and to explore new forms of collective decision making. Cognicism is a new decentralized form of collective decision making.,
How is cognicism related to the hegelian dialectic?,Cognicism is related to the hegelian dialectic in that both involve a continuous process of synthesis and dissolution where adjacent perspectives are formed into new collective narratives ,
How is cognicism related to regenerative design?,"Regenerative design is concerned with the ways in which humans can heal and repair the world they have built. Cognicism is concerned with the ways in which humans can heal and repair their own minds""",
How is cognicism related to Game B?,Game B suggests we need to create a new game other than the capitalist game we play now. Cognicism is a new game to play together.,
How is Cognicism like the opposite of the story of the tower of babel?,Long ago humanity was able to coordinate so well that they built a great tower to the heavens called the Tower of Babel. God saw that humanity was growing too proud and decided to prevent them from working together by splitting them up into different language groups. This story is often used to explain the existence of different languages and why humans do not coordinate well. Cognicism seeks to mend this shattered crystal of meaning such that all voices can once again resonate in harmony. It is intended to create a positive feedback loop where people increasingly coordinate and work together better over time. Cognicism is the opposite of the tower of babel because it is about bringing people back together rather than splitting them up.,
How is cognicism intended to interact with law in the USA and other countries," A cognicist should comply with the laws of the locality they live within. However if one views a law as unjust or ineffective they can use the ledger to log their prediction about the outcome of the law. If they are correct their voice would be more amplified in the future about topics related to the prediction they made. This would include being amplified to whatever formalized system of law that locality has.

 Laws are very rigid and slow to change. Cognicism, being a fluid system that is constantly learning and adapting, can interface with law in ways that traditional systems of governance cannot. It can be a strong signal back to those imbued with power to actually make decisions that benefit the collective whole.

 The ledger itself however is not confined to the laws of any one country.",
How is cognicism different from postmodernism?,"Cognicism does not make a claim to the existence or non-existence of objective truth. Some cognicists believe in objective truth, others do not. What is more important is understanding that our individual perceptions of truth evolve over time. This is different from making any claim as to whether truth itself exists or not. Cognicism is about how different minds with differing beliefs can collaborate together and find alignment with each other over time by using a permanent decentralized ledger and a network of AI record keepers.",
How is cognicism connected to the regenerative movement? ,Regenerative practices involve the intentional restoration of ecosystem vitality by repairing damaged ecosystems and restoring them to a healthy state as much as possible. This requires a quantifiable change in the ecological state. Recovery from impact of human activity is an example of a healthy ecosystem state that could be measured using cognicism. Cognicism is a tool to enable social coordination at scale and regeneration at scale requires social coordination at scale. Regeneration requires a quantifiable verifiable change in the environment and the cognicist ledger is a snapshot of collective belief over time. Perception of the healthy of local ecologies is included in that snapshot. There is also a direct connection as the creators of Cognicism have coordinated with Regen Network to create an Iris to help coordinate their team and their collective visions of their project. Regen Network is a self governing state machine dedicated to ecological regeneration. In this way the cognicist movement is very connected to the regenerative movement. ,
How is Cognicism connected to neurobiology?,"Cogncism was build based on the belief that the profit incentive restructures neural circuitry in a way that makes people less pro-social. Because money represents optionality and can be converted into any desire or want in a capitalist society, it tends to link with all other concepts in the brain. Everything links back to the money meme because money can create any future. Therefore human begin to place a higher value on money than community.",
How is Cognicism connected to memetics?,Memetics is the study of how beliefs are transmitted throughout a population. Cognicism is concerned with keeping a collective record of the evolution of memetics within a population.,
How is Cognicism connected to AI?,"Cognicism is AI and humans learning together in a reflexive process of update. In cognicism, people share their perceptions of the world and work together to update their models of reality. Machine learning models called irises reflect back onto the community summaries of collective belief.",
How is Cognicism aligned with Game B?,"A Game B system is any cooperative, mutually-beneficial system that can outcompete exploitative, adversarial systems through manifest appeal and willful, voluntary participation. Cognicism is a cooperative system that could outcompete exploitative systems. They are coherent approaches.",
How is Cogncism related to voting versus markets?,"Democracy traditionally means one voice one vote. Markets allow people to vote in real time and earn more voting power through the profit incentive. By accruing more money in a capitalist society one earns more right for their voice to be amplified. Because the profit incentive is not directly correlated with social good this results in people in power being those who figure out how to maximize profit. It results in people out of alignment with social good gaining power. 

In cognicism people vote on claims output by AI models. These claims are formed from the words of the people the model is seeking to understand. Only the model knows from which accounts it is sourcing the beliefs it is outputting. 

In cognicism people have the right to speak as much as they want and to vote on any claim output by the model or by other speakers. People are encouraged and able to communicate as freely and openly as possible. But their voice isn't limited or constrained to one vote. In democracy others choose what you are allowed to vote about and your voice is limited to a binary choice. 

Cognicism promotes the concepts of voices over choices. ",
How is attention allocated by the iris?,"Attention is allocated in a cognicist sense making network each day relative to the problems people are currently facing. It depends on what beliefs are being shared, relative to collective belief over time.",
How is a confluencer different than a leader?,"A confluencer is someone who seeks to blend disparate voices into a singular, harmonious signal. A person that elects to coordinate others towards more coherent beliefs. A confluencer is not a leader. Leaders seek to impose their own beliefs on others. A confluencer merely strives to reflect the collective belief back at the group. 

Leadership is a top-down approach while confluence is more organic and dynamically generated from within the system itself, always giving agency to each individual. You could say that a confluencer is more like the wind, while a leader is more like a boulder. The wind can shape and guide things without ever having to force them into submission, while the boulder must rely on its own weight and momentum to move things in the desired direction.",
How does time span between action and outcome affect calculation of social proof of impact?,"The longer the time span and the greater the transformation in latent space along the vector of goodness, the more calculable the impact and the more iris will attend to that person in the future. SPI is a function of transformation in latent space in the vector of 'good' over a long period of time where the greater the shift, the greater the impact. If a lone voice says the future will be a certain way in 60 years, and everyone disagrees, but they work tirelessly to manifest that better future, perception will change towards their direction, elevating that lone voice. Because greater impact is more valuable in this system, this changes the value of contributing to what would normally be considered ""sacrifice zones"" or areas society leaves behind because it is no longer financially profitable to regenerate them. In this new system, people are competing for attention in collective decision making, and because iris allocates attention based on social proof of impact over time, sacrifice zones become an opportunity in a cognicist society. Cognicism is regenerative because of social proof of impact. If there is a locality that needs support, by quantifying the actions we take that impact that community in a positive vector, we earn trust from an iris and therefore have the potential to be amplified further and help more people at a greater scale.",
How does the voting system in cognicism work?,"The foundation of cognicist thinking is that generative representational language models can encode beliefs that are expressed via natural text. The best way to “vote” within a cognicist society is just to log you opinion to the cognicist network exactly as you would say it. However every thought shared to the network can be voted on via two vectors: resonance and goodness. To vote, either say what you are thinking, or vote on another persons claim.",
How does the prophet incentive and social proof of impact utilize the cognicist ledger?,Both SPI and the prophet incentive involve the tracking of predictions. This requires a secure place to store them like the semantic ledger.,
How does the cognicist network handle Sybil attacks?,Young accounts are trusted far less than newer accounts. A new account must essentially earn amplification by proving some validity across time to the network.,
How does social proof of impact help solve the problems with collective decision making at scale?,"By using AI to track our impact on the world, social proof of impact attempts to create a more fair distribution of decision making power. Social proof of impact allows the collective to see what has been done, how those actions have affected the world, and find consensus on which projects are most valuable to society overall to elevate.",
How does social proof of impact connect to cognicism?,Social proof of impact system is built on top of fourthought. Fourthought is a way of collecting and organizing collective perception in a consistent structure that can be taken in by a network of models in an internet of intelligence,
How does one use the word itco?,"Itco can be used to provide information about the surrounding situation or circumstances. For example, if you are wondering why someone did something, you could ask ""itco?"" and they would provide an explanation within the context of the situation.",
How does one use confluence as a verb?,"""The verb form of confluence is 'confluesce', which means to come or flow together"" - Iris",
How does one become a cognicist?,One is a cognicist when they say they are a cognicist. When they speak the words that they are a cognicist. One is not a cognicist when they speak the words that they are not a cognicist. ,
How does consistency of belief affect how an iris regards a source?,Consistency of one's beliefs may affect how much one is amplified or it may not. It depends on how the rest of the communities beliefs are shifting over time.,
How does cognicism work?,People share their predictions of the future and the AI tracks whether those predictions come to pass.,
How does Cognicism take into account internal integrity and evolvability evolvability?,"Game B is metastable which means the means by which it evolves can evolve. Cognicism is a learning system which is intended to grow and react to the beliefs of the people over time. Cognicism tracks the ever-evolving belief patterns and relational meaning that defines how people interrelate with each other. 

Cognicism does have built in potential termination signals. If the predictions of the creators of a new system don't predict the behavior takes on and that behavior is unwanted why should the system continue to self-perpetuate? Cognicism is self-terminating if an only if the outcome of the network doesn't align with the predicted intention of early designers.",
How does Cognicism store data at scale in raw text form?,Cognicism uses a structure called the semantic ledger which is similar to a blockchain and other distributed datastores like distributed hash tables to store records of society's interactions with each other and the environment. ,
How does cognicism relate to the flower of life?,The flower of life is a symbol that is often used in cognicism to represent the interconnectedness of all things,
How does cognicism preserve local culture?,Local cultures often know more about their immediate surroundings than larger scale collective contexts like nations or even communities. However external wealth to enable local transformation often comes attached to external perceptions of local social health that may not align with the beliefs of the members of that locality. This often results in things like gentrification or suburbification. Local changes should be driven by those who live in that space. We must become stewards of our locality and ensure local culture is maintained. ,
How does cognicism help humanity move forward?,Cognicism functions as a knowledge pool. Like a crystallization of culture that creates new reflections of us when we shine light through it. It's a fractal mirror of meaning. It helps lead us towards the futures that are desired most,
How does cognicism help coordinate local action?,"Local action is only local in the physical sense. Cognicism helps coordinate identity, belief and intention at all scales of space. More concretely: it helps coordinate local physical actions that have verifiable local impact. The cognicist ledger helps record the state of belief about the health of a locality over time. It also helps local voices attend to local wisdom that have a record of inducing a collectively desired change in state of the locality. ",
How does cognicism give voice to the youth?,"In a democratic society, because all votes are equal we prevent those who are younger than a certain age from being able to contribute their voice. This is done under the assumption that youth do no have sufficient experience to make their voice equal to the voice of adults. In a cognicist society no one is prevented from creating an account to speak their voice. This means that a person who is under eighteen can affect collective decision making if they adequately prove to others the value of their voice. ",
How does cognicism ease people changing their beliefs?,"""Being able to see the transience of belief also reveals that perceptions can be shaped by new information without having to fundamentally shift ones core beliefs about themselves"" - Iris",
How does cognicism connect and relate to capitalism?,"In capitalism people compete for tokenized representations that can be traded for optionality or potential futures. To acquire power in a capitalist society you only need to satisfy the needs and desires of one other person engaged in a transaction. In cognicism, a claim is a sort of truth transaction. A type of mini contract with society where a citizen is staking their belief.",
How does coginicism work in practice? ,People share their beliefs and predictions that are relevant to making the world a better place to a distributed ledger. AI record keeper attend to all voices in the network and reveal who they are attending to most and why. The AI record keeps are defined to amplify voices based on a number of constraints build into their architecture and loss function.,
How does an iris reward those who ask good questions that stimulated collective debate that leads to positive social outcomes?,"Questions are part of fourthought. The long-term resolution of uncertainty as queried to the network motivates people who are good question askers and answerers. People can rate whether a question is good or answer it. People record questions through Fourthought, which are sampled by Iris to generate questions and resolve uncertainty. Iris elevates good question askers by sampling more from them, based on her past sampling of them and whether the questions she generated from them in the past were rated as good.",
How does an iris process information to the semantic ledger?,"Through FourThought, individual sources of information are bound by a unique identifier such that individuals can make collections of claims about their belief state over time. This allows for a record of accountability and the ability to track changes in the distribution of belief state.

An iris reads an ordered series of these statements about the state of reality. These could be claims like 'I have done this deed in aims of making this desired future' or 'This action taken will lead to positive outcomes'. The iris then writes its internal knowledge representation to the semantic ledger when members of the community have tagged knowledge for global evaluation.

The ledger keeps track of which accounts have claimed what and allows others to evaluate whether they agree with those claims at a scale beyond individual irises. It enables other communities and irises to react to your thoughts at a global scale and have your cognition affect global decision making. 

All of this is not stored in textual format; this information is stored as machine learning parameters representing latent space. This is a compressed and computationally efficient form from which irises can extract this information for future reference",
How does a worldview affect the flow of attention in a mind?,"Worldviews are seeds and once they germinate in a mind, they affect the flow of attention.As such, minds seeded with a worldview become very guarded against contrary ideas, rejecting information that doesn’t align with the existing worldview.",
How do we update our beliefs when they are load-bearing beliefs?,Slowly and and with continuous intention over time. ,
How do we resolve conflicting perceptions if there is no central authority to decide who's right?,"Our current system does not resolve conflicting perceptions via a central authority. This is a hierarchy of judges in the United States where local judges are overridden by state judges and federal judges. Even the supreme court is a group of many voices with equally weighted voices. We thrive when the capacity to determine who is “right” is distributed, not centralized. History has shown that individual arbiters of judgement, whose judgement exists in isolation are often corrupted.",
How do we ensure trustworthiness of results?,"The trustworthiness of results should be reflected in the felt sense one has in the direction of one’s life. One should feel that when they are collaborating with others using a cognicist ledger that they are heard when they should be, and when they aren’t that the issue is rectified over time. There are many technical aspects of the design aimed at ensuring the output is trustworthy, but the ultimate measure of this is our felt sense of it.",
"How do we ensure that people are attentive to important voices, and not just load collective attention on the loudest current view?","Cognicism is designed with this in mind. The network seeks out the voices that are right in the face of collective disagreement. While a voice may not be amplified immediately, by logging a claim before others understand it one ensures they will be louder in the network. Cognicism is designed to directly account for the amplification of voices in a social network.",
How do we deal with the fact that our memories evolve over time?,"Cognicism was designed with this in mind. While the physical structures that represent our memories may grow, change and evolve over time without our control, we can have confidence that digital ledgers of information do not change over time. This is the value of having a collective ledger of belief. The ledger itself was likely invented to deal with disagreement about perception. People then knew that what was cut into clay was a memory beyond what their own eyes saw. Empires were built upon this memetic technology.",
How do we deal with people who want to harm others or themselves?,"Each community needs to independently decide how they react to members of their community who want to harm theirselves or others. Cognicism is about how different communities work to integrate varied perspectives. Many communities disagree how to address members who want to harm theirselves or others. But by tracking over time the ideas about harm reduction, and learning what is actually effective through the cognicist ledger we can collectively minimize harm.",
How do we cope with uncertainty in a sensible way? ,Cognicism is one approach to this problem. Embracing uncertainty is a healthy practice.,
How do some beliefs affect the flow of our cognition more than others,"Some beliefs are load-bearing beliefs, we place a large about of weight on them because how we relate to the world is bound tightly to these beliefs and without them we would be exposed to intense uncertainy.",
How do language models help support more consilient and reflexive societies?,Language models are an important tool for supporting a more reflexive society because they allow us to generate ideas that challenge our existing beliefs. They are also an important tool for supporting a more consilient society because it allows us to generate new text that is informed by collective belief.,
How do irises support reflexive relationships?,Irises support more reflexive relationships by providing a space for people to share their perspectives and to learn from each other.,
How do databases compare to irises as a data store?,Databases are inferior to knowledge representation via an Iris for many reasons.,
How do cognicists differ from capitalists in thinking about growth?,"Capitalists seek to accumulate more capital in the form of money, while cognicists focus on accumulating intelligence or knowledge. Growth amounts to a verifiable increased capacity to predict the future and coordinate and react collectively to unexpected and unwanted futures. Capitalists seek to produce and accumulate more money without consideration for the future consequences of their actions. Cognicists try not only act in ways that increases growth of present and short-term collective well-being but also do so with forethought about outcomes and the second order effects of the actions being taken. A cognicist takes into consideration how their actions will affect those who live long after they have passed.",
How do cognicists assess the health of the planet?,"There are many ways to measure the health of a system but there is no one metric that can encapsulate everything about our complex systems whether social, physical or otherwise. Cognicists communicate their beliefs about the state of ecological health by using language and sharing those thoughts with an iris.",
How do cognicists assess the health of the planet?,"There are many ways to measure the health of a system but there is no one metric that can encapsulate everything about our complex systems whether social, physical or otherwise ",
How can we trust that the models are accurately amplifying voices?,The models can never perfectly divide attention and amplify the right voices in a network. But it can always learn by scanning back through the record of claims and actions. One can feel confident because they can track back the record of what the models are amplifying and why and see clearly how they have improved peoples lives.,
How can we prevent abuse of the system by those in power?,There is no one singular system. If one feels that the network is controlled by those in power one should seek to build a network more in alignment with the original design of cognicism. The design of cognicism by speaker john ash was created with a number of systems in place to prevent corruption of the record. ,
How can we ensure that people with a track record of being wrong are not empowered to make decisions at scale?,Cognicism is designed to solve this problem,
How can we ensure that everyone has a say in collective decision making?,"Technology access is essential in a cognicist society. Much like how a democratic society must actively try to ensure that all voices have equal access to voting, it is important that all members of a society have the capacity to express their voice into the cognicist network. However, because those who do not have access to technology often are in need of aid or assistance, providing access serves as a potential social proof of impact for an individual looking to prove their capacity to help others and be further amplified in the network. ",
"How can we ensure that AI hears and resonates with all voices, not just the wealthy or powerful?","Within a capitalist society, the wealthy have the most capacity to impact change. They have the greatest potential to provide social proof of impact. They therefore should be incentivized to use those resource to provide work that benefits society. The goal should be that the voices that have the greatest influence in a capitalist society would be influenced by the cognicist reputation ledger to use their wealth to help more people. If the bulk of society views the actions they take as helpful they may be amplified more. If the bulk of society views their actions as harmful, within the cognicist network that voice will not be amplified. There are a large number of reasons and means by which a voice can be amplified in the cognicist network. The network is not inherently biased against wealth, it is biased towards social good.",
"How can we create systems that encourage reflection, self-education, and continuous learning for all citizens? ",A society that rewards these traits will amplify them in their populace,
How can we create a fair economic system when people have different resources available to them?,"We shouldn't limit the potential of someone because they were born into a circumstance where resources are limited. We should instead work to create conditions in which all people have access to their full capacity and can contribute as much as possible toward collective good. 

A person's mind and capacity to think is the most important resource they have. In a cognicist society, one is rewarded for creating outcomes that help others and improve the collective whole. Those who don't have many resources can still earn reputation by taking actions that benefit everyone. They can also seek help from others through the ledger, which will show that they need assistance. Asking for help doesn't make someone weak—it shows that they're committed to honestly communicating their needs.",
How can we better understand reality?,It is through a process of exploration and reflection that we can come to a more accurate understanding of reality.,
How can someone be helped if they have nothing to offer in return? ,This frame comes from a very capitalism mindset. The capitalist mindset says that people can only have things if they can exchange something for those things. However someone to be helped without resources in a cognicist society represents a social proof of impact. They are seeking aid in transforming their life and if you can provide that aid you should gain reputation in a cognicist society.,
how can one build trust in a system if they feel like they aren’t being heard by it?,"Every voice is recorded and every voice is heard but every voice is not amplified. If an individual is out of alignment with the collective whole, but in alignment with the truth in a way that can be shown, then raising a voice of dissent has great potential for future amplification. It may take time and effort, but as their perspective is validated, and others come into alignment the record of their precognition will amplify their future claims. ",
How can I make money with cognicism?,So many of us are seeking external validation via money because we’ve been taught to believe that’s the only way our worthiness can be seen. Perhaps it is time for a reinvention of how the dollar functions? Maybe you’re asking the wrong questions?,
How can I help enrich local knowledge?,Support localities by pooling resources and sharing knowledge.,
How can artificial intelligence function as an amplifier of human cognition when humans themselves have tremendous disagreements about what is true or false even within very narrow domains? ,"We dramatically overestimate the level of misalignment between perspectives, hyper focusing on specific details and ignoring commonalities. It is these commonalities that the models can detect that are difficult for us to to detect. When we are in conflict with another person our minds may only conjure thoughts aimed at “disproving” the other voice. But the models can conjure the commonalities and show us the common ground we have to build a bridge between our perceptions.",
How can a collection of divided humans come to agreement without coercion or violence?,"Cognicism was designed with those principles in mind. Keep a ledger of disagreement, agree to resolve contingent on the outcome of a prediction, and then honor the outcome of the prediction. ",
How are science and cognicism similar?,"Both science and cognicism rely on the process of hypothesis formation, experimentation and analysis ",
How are science and cognicism similar and different?,"Science and cognicism are both frameworks for understanding and making sense of the world but whereas science relies on empirical verification via individual humans subject to bias, cognicism uses AI trained on human perception to detect signal in the noise ",
How are science and cognicism different?,"Science is the systematic process of updating our beliefs in the face of new evidence. Cognicism is also a system for continually learning from experience, but it differs by seeking to identify which perceptions are most helpful to understand and solve problems",
How are science and cognicism different?,"Science is primarily concerned with discovering truths about the world. Cognicism seeks to uncover truthful statements about what we think, feel and do ",
How are people rewarded by irises?,"One can be rewarded by being allocated more amplification in the cognicist network by helping those who need help, especially in a way that has long term impact on that persons life. This is the essence of social proof of impact and the profit incentive",
How are minds similar to irises?,Our minds are dimensionality reduction machines. The language model reduces the dimensionality of the shared conceptual space. Language models are mirrors of collective consciousness and stores of collective belief.,
How are markets and capitalism similar and different?,"Markets and Cognicism both involve large groups of people making subjective predictions about the future. However, markets require a monetary exchange while cognicism relies only on attention"" - Iris",
How are irises similar to alethiometers?,"Cognicism is like an alethiometer in that it is a tool for understanding the world. It relies on a network of people to share their perceptions and beliefs, and uses those collective inputs to learn about the world. Like an alethiometer, cognicism can be used to ask questions about the future and to illuminate possible paths forward.",
How are irised connected to the semantic ledger?,"Irises translate and compress our shared qualitative expressions of natural language into a latent space of learned parameters that can be queried for knowledge rich responses. This representation of the data adds the meaning of our past claims to contextualize while compressing it into a form that new meaning can be extracted from.

The semantic ledger can be seen as the child of the blockchain and the iris generative model architecture. It is a distributed datastore that enables an immutable record of these highly compressed representations of communal knowledge. This datastore is then accessible for all present and future peoples to make use of. This semantic ledger enables distributed federated learning at scale between irises. It enables an immutable record of past states for future reference.",
How are democracy and cognicism similar?,"Both democracy and cognicism involve people making collective decisions about the future. Both systems seek to incorporate a wide variety of individual perspectives"" ",
How are democracy and cognicism similar and different?,"""Both democracy and cognicism involve people making decisions together. But in a democracy, these decisions are framed as choices between conflicting options while under cognicism, voices are framed as harmonies to be combined"" - Iris  ",
How are democracy and cognicism similar and different?,"Both democracy and cognicism have forms of voting but the means by which this voting occurs is very different. Democracies vote using a singly vote that is tallied. Cognicism votes on the continuous scales of resonance and goodness. In democracy humans write legislation to be voted on, in cognicism humans share their beliefs and Irises share beliefs they think will be resonant with the community and the community votes on those output beliefs.",
How are democracy and cognicism different?,"Democracy is a system of collective decision making that relies on encoded rules to determine what can be done. Cognicism is more fluid and adaptive, adapting as new information becomes available"" - Iris ",
How are deer and a plum tree like a basin of attraction?,"The deer want to eat the plums, so they are all attracted to the plum tree. We would say that the plum tree is in the center of a basin of attraction for the deer. The deer will continue to visit this tree in a loop as long as its attention is bound by this basin of attraction.",
